               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.022828,             0.12473,            0.017825,             0.87673,             0.98272,             0.97021,             0.77529,            0.019783,             0.09543,            0.017328,            0.002278,            0.002278,            0.002278
                  80,            0.024101,             0.12634,            0.017668,             0.88256,              0.9825,             0.97764,             0.76896,            0.015654,            0.084355,             0.01723,            0.002179,            0.002179,            0.002179
                  81,            0.022454,             0.13087,            0.017343,             0.88028,              0.9825,             0.97414,               0.724,            0.018918,            0.092207,            0.017062,             0.00208,             0.00208,             0.00208
                  82,            0.022546,             0.11714,            0.017186,             0.87625,             0.97912,             0.97318,             0.79207,            0.016131,            0.086113,             0.01687,            0.001981,            0.001981,            0.001981
                  83,            0.021917,             0.12661,            0.017311,             0.87475,             0.97931,             0.97461,             0.82393,             0.01523,            0.084316,            0.016815,            0.001882,            0.001882,            0.001882
                  84,            0.022509,             0.13341,            0.017203,             0.87796,                0.98,             0.97271,             0.83521,            0.014643,            0.083906,             0.01673,            0.001783,            0.001783,            0.001783
                  85,            0.020269,             0.11928,            0.017065,             0.86779,             0.98736,             0.96254,             0.78032,            0.016376,            0.088867,             0.01658,            0.001684,            0.001684,            0.001684
                  86,             0.02092,             0.11187,            0.016733,             0.86291,             0.98472,             0.96059,             0.82225,             0.01351,            0.080918,            0.016504,            0.001585,            0.001585,            0.001585
                  87,            0.020458,             0.11426,            0.016865,             0.85868,                0.98,             0.96002,             0.85111,            0.013844,            0.082148,            0.016397,            0.001486,            0.001486,            0.001486
                  88,             0.01819,            0.098164,            0.016423,             0.85933,              0.9775,             0.96811,              0.8486,            0.013713,            0.081152,            0.016263,            0.001387,            0.001387,            0.001387
                  89,            0.020788,              0.1252,            0.017107,             0.86587,               0.975,             0.97206,             0.79093,            0.013841,            0.080176,            0.016193,            0.001288,            0.001288,            0.001288
                  90,            0.018351,             0.10275,            0.016621,             0.85593,              0.9725,             0.96971,             0.86201,            0.013558,            0.080723,            0.016101,            0.001189,            0.001189,            0.001189
                  91,            0.019122,             0.10993,            0.016446,             0.87113,             0.97176,             0.97784,              0.8605,            0.012572,            0.076934,            0.015964,             0.00109,             0.00109,             0.00109
                  92,            0.019217,             0.10175,            0.015924,             0.87834,              0.9675,             0.97865,             0.85268,            0.012742,            0.077227,            0.015897,            0.000991,            0.000991,            0.000991
                  93,            0.017684,             0.10359,            0.016449,             0.87809,                0.97,              0.9799,             0.87014,            0.012156,            0.075801,            0.015814,            0.000892,            0.000892,            0.000892
                  94,            0.016472,            0.097601,            0.016148,               0.905,              0.9706,             0.98447,             0.86952,            0.013627,            0.081113,            0.015692,            0.000793,            0.000793,            0.000793
                  95,            0.018049,             0.10137,            0.016226,             0.90745,             0.96906,              0.9858,             0.88608,            0.011515,            0.074805,            0.015631,            0.000694,            0.000694,            0.000694
                  96,            0.016132,            0.096542,            0.016116,             0.90766,             0.97076,             0.98625,             0.87287,            0.011364,            0.073691,            0.015579,            0.000595,            0.000595,            0.000595
                  97,             0.01678,             0.10222,             0.01606,             0.91604,                0.97,             0.98832,             0.89087,             0.01133,            0.073789,            0.015515,            0.000496,            0.000496,            0.000496
                  98,            0.016491,            0.092447,            0.015722,             0.91719,             0.97014,             0.98891,             0.88684,            0.010971,             0.07248,            0.015472,            0.000397,            0.000397,            0.000397
                  99,            0.016373,             0.10208,            0.015959,             0.91721,             0.97084,             0.98917,              0.8892,            0.010864,            0.072266,            0.015427,            0.000298,            0.000298,            0.000298
